group_title,name,price,img_src,label,page_no
一帖茶方,馥郁四季青(L),45元,https://storage.googleapis.com/quickclick_products/library/5915/web-xkGn6O1xo,,2
一帖茶方,輕焙碧螺綠(L),45元,https://storage.googleapis.com/quickclick_products/library/5915/web-YeK9X8AdL,,2
一帖茶方,琥珀金萱烏龍(L),45元,https://storage.googleapis.com/quickclick_products/library/5915/web-PkOEGRon3,,2
一帖茶方,金萱烏龍鮮豆奶(L),60元,https://storage.googleapis.com/quickclick_products/library/5915/web-leLry7Lp0,,2
一帖茶方,熟韻鮮奶茶(L),65元,https://storage.googleapis.com/quickclick_products/library/5915/web-gL8bxA7Pk,,2
一帖茶方,鮮榨橙柚青(L),65元,https://storage.googleapis.com/quickclick_products/library/5915/web-15YQa78Jz,,2
一帖茶方,鮮橙四季青(L),65元,https://storage.googleapis.com/quickclick_products/library/5915/web-A86MzlPPa,,2
一帖茶方,寒天青檸茶(L),65元,https://storage.googleapis.com/quickclick_products/library/5915/web-RzgPmkDDa,,2
一帖茶方,四季蜜青凍(L),65元,https://storage.googleapis.com/quickclick_products/library/5915/web-Mz5Ye74ge,,2
一帖茶方,碧螺綠鮮奶茶(L),70元,https://storage.googleapis.com/quickclick_products/library/5915/web-gL8bxAx7d,,2
不夜侯製茶所敦北,琥珀紅茶(L),40元,https://storage.googleapis.com/quickclick_products/library/5915/web-PkmlL9K6k,,2
不夜侯製茶所敦北,碧湖冬瓜露(L),45元,https://storage.googleapis.com/quickclick_products/library/5915/web-KpjlLQnAo,,2
不夜侯製茶所敦北,特上503(L),50元,https://storage.googleapis.com/quickclick_products/library/5915/web-dLmB4RlQE,,2
不夜侯製茶所敦北,春日蕎麥茶(L),50元,https://storage.googleapis.com/quickclick_products/library/5915/web-RzrlLE8m0,,2
不夜侯製茶所敦北,炭焙厚奶茶(L),60元,https://storage.googleapis.com/quickclick_products/library/5915/web-01kENng94,,2
不夜侯製茶所敦北,碧湖鮮乳茶(L),65元,https://storage.googleapis.com/quickclick_products/library/5915/web-bLGYkM5go,,2
不夜侯製茶所敦北,碧湖冰梅綠(L),65元,https://storage.googleapis.com/quickclick_products/library/5915/web-8Oy41rmy5,,2
不夜侯製茶所敦北,濃韻鮮乳茶(L),70元,https://storage.googleapis.com/quickclick_products/library/5915/web-PkmlLYWeM,,2
不夜侯製茶所敦北,古坑柳丁綠(L),75元,https://storage.googleapis.com/quickclick_products/library/5915/web-yA5Mng650,,2
蔡老師蔬食,天天換7菜素食餐盒,120元,https://storage.googleapis.com/quickclick_products/library/5915/web-zpa60OdxZ,素食,2
松田日式飯糰,牛蒡飯糰,40元,https://storage.googleapis.com/quickclick_products/library/5915/web-r0NPRmz3L,素食,3
松田日式飯糰,海苔素飯糰,40元,https://storage.googleapis.com/quickclick_products/library/5915/web-JxdpEN8ZJ,素食,3
